query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061615	BP	125	glycolytic process through fructose-6-phosphate	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061621	BP	121	canonical glycolysis	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061620	BP	15	glycolytic process through glucose-6-phosphate	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0061718	BP	283	glucose catabolic process to pyruvate	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	1.3e-09	19	62	7	0.113	0.368	GO:0006735	BP	196	NADH regeneration	1	ENSG00000067225,ENSG00000074800,ENSG00000109107,ENSG00000111640,ENSG00000111669,ENSG00000149925,ENSG00000156515
1	TRUE	2.85e-08	45	158	11	0.07	0.244	KEGG:05130	keg	279	Pathogenic Escherichia coli infection	1	ENSG00000067560,ENSG00000075624,ENSG00000123416,ENSG00000127824,ENSG00000137267,ENSG00000167552,ENSG00000184009,ENSG00000188229,ENSG00000196230,ENSG00000241553,ENSG00000258947
1	TRUE	2.07e-07	156	394	24	0.061	0.154	KEGG:05010	keg	329	Alzheimer disease	1	ENSG00000010256,ENSG00000015475,ENSG00000065518,ENSG00000100030,ENSG00000111640,ENSG00000111775,ENSG00000115944,ENSG00000117118,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140740,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000158864,ENSG00000164885,ENSG00000166136,ENSG00000176749,ENSG00000179091,ENSG00000183454,ENSG00000186318,ENSG00000213619,ENSG00000273079
1	TRUE	4.17e-07	179	394	25	0.063	0.14	KEGG:05016	keg	296	Huntington disease	1	ENSG00000005022,ENSG00000006125,ENSG00000010256,ENSG00000042753,ENSG00000065518,ENSG00000105258,ENSG00000111775,ENSG00000115944,ENSG00000117118,ENSG00000122705,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140740,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000158864,ENSG00000161203,ENSG00000166136,ENSG00000175203,ENSG00000179091,ENSG00000213619,ENSG00000233276,ENSG00000273079
1	TRUE	4.17e-07	131	291	18	0.062	0.137	KEGG:05012	keg	117	Parkinson disease	1	ENSG00000005022,ENSG00000010256,ENSG00000065518,ENSG00000111775,ENSG00000115944,ENSG00000116288,ENSG00000117118,ENSG00000126267,ENSG00000131143,ENSG00000135390,ENSG00000140990,ENSG00000147123,ENSG00000147684,ENSG00000154277,ENSG00000158828,ENSG00000158864,ENSG00000170315,ENSG00000179091
1	TRUE	5.07e-07	491	400	39	0.098	0.079	GO:0031966	CC	260	mitochondrial membrane	1	ENSG00000005022,ENSG00000010256,ENSG00000015475,ENSG00000025772,ENSG00000065518,ENSG00000075415,ENSG00000096080,ENSG00000100335,ENSG00000101019,ENSG00000101290,ENSG00000111775,ENSG00000115944,ENSG00000116288,ENSG00000117118,ENSG00000126267,ENSG00000129473,ENSG00000131143,ENSG00000135390,ENSG00000135900,ENSG00000139644,ENSG00000140740,ENSG00000140990,ENSG00000144659,ENSG00000147123,ENSG00000147684,ENSG00000158828,ENSG00000158864,ENSG00000165283,ENSG00000166136,ENSG00000170315,ENSG00000171552,ENSG00000174917,ENSG00000178057,ENSG00000179091,ENSG00000182768,ENSG00000204568,ENSG00000213619,ENSG00000215021,ENSG00000262814
