query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	2.38e-29	672	127	47	0.37	0.07	GO:0050776	BP	75	regulation of immune response	1	ENSG00000010610,ENSG00000011600,ENSG00000015285,ENSG00000019582,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000082074,ENSG00000086730,ENSG00000095970,ENSG00000101096,ENSG00000101336,ENSG00000105329,ENSG00000107201,ENSG00000110057,ENSG00000123338,ENSG00000125730,ENSG00000130303,ENSG00000138496,ENSG00000143226,ENSG00000150337,ENSG00000155307,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000163565,ENSG00000165025,ENSG00000166278,ENSG00000167613,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000185885,ENSG00000196664,ENSG00000197943,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	1.3e-27	703	127	46	0.362	0.065	GO:0002684	BP	82	positive regulation of immune system process	1	ENSG00000010610,ENSG00000015285,ENSG00000019582,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000082074,ENSG00000086730,ENSG00000095970,ENSG00000101096,ENSG00000101336,ENSG00000105329,ENSG00000107099,ENSG00000107201,ENSG00000110057,ENSG00000123338,ENSG00000125730,ENSG00000138496,ENSG00000143226,ENSG00000150337,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000163565,ENSG00000163823,ENSG00000165025,ENSG00000166278,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000180353,ENSG00000196664,ENSG00000197943,ENSG00000204287,ENSG00000204472,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	2.31e-27	958	131	52	0.397	0.054	GO:0006952	BP	223	defense response	1	ENSG00000010327,ENSG00000011600,ENSG00000015285,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000067066,ENSG00000068079,ENSG00000081237,ENSG00000095970,ENSG00000101336,ENSG00000105329,ENSG00000107201,ENSG00000110057,ENSG00000119535,ENSG00000125730,ENSG00000128604,ENSG00000130303,ENSG00000132274,ENSG00000138496,ENSG00000140968,ENSG00000150337,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000161921,ENSG00000163131,ENSG00000163565,ENSG00000163823,ENSG00000163840,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000168329,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000182578,ENSG00000185885,ENSG00000196664,ENSG00000197943,ENSG00000204264,ENSG00000204287,ENSG00000204472,ENSG00000223865,ENSG00000231389
1	TRUE	1.57e-26	984	118	49	0.415	0.05	GO:0001775	BP	251	cell activation	1	ENSG00000010610,ENSG00000011600,ENSG00000012779,ENSG00000019582,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000086730,ENSG00000100504,ENSG00000101096,ENSG00000103187,ENSG00000105329,ENSG00000106799,ENSG00000107099,ENSG00000115956,ENSG00000123338,ENSG00000125730,ENSG00000129226,ENSG00000134516,ENSG00000136167,ENSG00000141506,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000152804,ENSG00000155307,ENSG00000158869,ENSG00000160255,ENSG00000163131,ENSG00000163191,ENSG00000165025,ENSG00000165168,ENSG00000167613,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000174125,ENSG00000174130,ENSG00000180448,ENSG00000185811,ENSG00000197943,ENSG00000204472,ENSG00000204482,ENSG00000213719,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	2.3e-23	860	127	45	0.354	0.052	GO:0002252	BP	131	immune effector process	1	ENSG00000011600,ENSG00000012779,ENSG00000015285,ENSG00000019582,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000100504,ENSG00000101336,ENSG00000103187,ENSG00000105329,ENSG00000107201,ENSG00000123338,ENSG00000125730,ENSG00000129226,ENSG00000130303,ENSG00000134516,ENSG00000136167,ENSG00000138496,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000150337,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000163191,ENSG00000163565,ENSG00000163840,ENSG00000165025,ENSG00000165168,ENSG00000166278,ENSG00000167613,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000180448,ENSG00000196664,ENSG00000197943,ENSG00000242574
1	TRUE	9.6e-18	470	75	25	0.333	0.053	GO:0043299	BP	242	leukocyte degranulation	1	ENSG00000011600,ENSG00000012779,ENSG00000028137,ENSG00000051523,ENSG00000066294,ENSG00000081237,ENSG00000101336,ENSG00000123338,ENSG00000125730,ENSG00000129226,ENSG00000134516,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000158869,ENSG00000160255,ENSG00000163191,ENSG00000165025,ENSG00000165168,ENSG00000167613,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000180448
1	TRUE	3.37e-17	761	131	37	0.282	0.049	GO:0034097	BP	157	response to cytokine	1	ENSG00000010610,ENSG00000012779,ENSG00000019582,ENSG00000028137,ENSG00000067066,ENSG00000068079,ENSG00000081237,ENSG00000095970,ENSG00000101336,ENSG00000105329,ENSG00000107099,ENSG00000107201,ENSG00000119535,ENSG00000128604,ENSG00000130303,ENSG00000131724,ENSG00000132274,ENSG00000136167,ENSG00000138496,ENSG00000140968,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000161921,ENSG00000163823,ENSG00000165025,ENSG00000168918,ENSG00000168961,ENSG00000169896,ENSG00000180353,ENSG00000182578,ENSG00000185885,ENSG00000204264,ENSG00000204287,ENSG00000204472,ENSG00000223865,ENSG00000231389
1	TRUE	7.59e-16	51	117	15	0.128	0.294	KEGG:05150	keg	253	Staphylococcus aureus infection	1	ENSG00000125730,ENSG00000143226,ENSG00000150337,ENSG00000159189,ENSG00000160255,ENSG00000166278,ENSG00000169896,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
1	TRUE	6.69e-13	505	124	26	0.21	0.051	GO:0030659	CC	101	cytoplasmic vesicle membrane	1	ENSG00000010327,ENSG00000010610,ENSG00000011600,ENSG00000019582,ENSG00000028137,ENSG00000051523,ENSG00000081237,ENSG00000123338,ENSG00000125257,ENSG00000129226,ENSG00000130303,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000145685,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000165168,ENSG00000167613,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000204287,ENSG00000223865,ENSG00000231389
1	TRUE	1.84e-12	638	114	27	0.237	0.042	GO:0030141	CC	182	secretory granule	1	ENSG00000011600,ENSG00000012779,ENSG00000028137,ENSG00000051523,ENSG00000081237,ENSG00000100504,ENSG00000103187,ENSG00000105329,ENSG00000123338,ENSG00000125257,ENSG00000125730,ENSG00000129226,ENSG00000134516,ENSG00000142583,ENSG00000143119,ENSG00000143226,ENSG00000145685,ENSG00000158869,ENSG00000160255,ENSG00000163131,ENSG00000163191,ENSG00000165168,ENSG00000167613,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000180448
1	TRUE	2.07e-12	166	111	16	0.144	0.096	GO:0006909	BP	29	phagocytosis	1	ENSG00000015285,ENSG00000051523,ENSG00000101336,ENSG00000123338,ENSG00000125730,ENSG00000134516,ENSG00000143226,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000165025,ENSG00000166278,ENSG00000169896,ENSG00000170458,ENSG00000197943,ENSG00000204472
1	TRUE	3.07e-12	482	127	25	0.197	0.052	GO:0031347	BP	117	regulation of defense response	1	ENSG00000051523,ENSG00000101336,ENSG00000107201,ENSG00000110057,ENSG00000125730,ENSG00000138496,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000163131,ENSG00000163565,ENSG00000163840,ENSG00000165025,ENSG00000166278,ENSG00000168961,ENSG00000169896,ENSG00000170458,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000174125,ENSG00000174130,ENSG00000196664,ENSG00000197943
1	TRUE	3.78e-12	487	127	25	0.197	0.051	GO:0032101	BP	95	regulation of response to external stimulus	1	ENSG00000019582,ENSG00000051523,ENSG00000101336,ENSG00000105329,ENSG00000107201,ENSG00000115956,ENSG00000123338,ENSG00000125730,ENSG00000138496,ENSG00000155629,ENSG00000158869,ENSG00000159189,ENSG00000160255,ENSG00000163823,ENSG00000163840,ENSG00000165025,ENSG00000166278,ENSG00000168961,ENSG00000169896,ENSG00000171860,ENSG00000173369,ENSG00000173372,ENSG00000174130,ENSG00000196664,ENSG00000204472
1	TRUE	1.01e-11	459	128	24	0.188	0.052	GO:0001816	BP	93	cytokine production	1	ENSG00000010610,ENSG00000019582,ENSG00000051523,ENSG00000066294,ENSG00000105329,ENSG00000107201,ENSG00000123338,ENSG00000125730,ENSG00000128604,ENSG00000130303,ENSG00000158869,ENSG00000163565,ENSG00000165025,ENSG00000165029,ENSG00000168329,ENSG00000168961,ENSG00000170458,ENSG00000174125,ENSG00000174130,ENSG00000182179,ENSG00000182578,ENSG00000196664,ENSG00000223865,ENSG00000231389
1	TRUE	1.15e-11	159	118	18	0.153	0.113	KEGG:05152	keg	234	Tuberculosis	1	ENSG00000019582,ENSG00000105329,ENSG00000125730,ENSG00000143226,ENSG00000150337,ENSG00000158869,ENSG00000160255,ENSG00000163131,ENSG00000165025,ENSG00000169896,ENSG00000170458,ENSG00000174125,ENSG00000174130,ENSG00000204257,ENSG00000204287,ENSG00000223865,ENSG00000231389,ENSG00000242574
