cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_5834_NA	Success	3.27948819582627	5	0.255558942278197	0.508895632884409	NA
chr1:clu_5835_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-34P13.13
chr1:clu_5836_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-206L10.2,AP006222.2
chr1:clu_5837_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_5838_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_5839_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_5840_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_5841_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_5842_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-206L10.2,RP11-206L10.8
chr1:clu_5843_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.8
chr1:clu_5844_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5845_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.11
chr1:clu_5846_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.11
chr1:clu_5847_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOC2L
chr1:clu_5848_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_5849_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5850_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDF4
chr1:clu_5851_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	UBE2J2
chr1:clu_5852_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SCNN1D
chr1:clu_5853_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SCNN1D
chr1:clu_5854_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_5855_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_5856_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_5857_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_5858_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_5859_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_5860_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PUSL1
chr1:clu_5861_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_5862_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CPSF3L
chr1:clu_5863_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DVL1
chr1:clu_5864_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DVL1
chr1:clu_5865_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_5866_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_5867_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CCNL2
chr1:clu_5868_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	ATAD3A
chr1:clu_5869_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	MIB2
chr1:clu_5870_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SLC35E2B
chr1:clu_5871_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	CDK11A
chr1:clu_5872_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11A
chr1:clu_5873_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CDK11A
chr1:clu_5874_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	GNB1
chr1:clu_5875_NA	Success	4.12375010442338	2	0.0161837098994367	0.0735331263287896	GNB1
chr1:clu_5876_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PRKCZ
chr1:clu_5877_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLCH2
chr1:clu_5878_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLCH2
chr1:clu_5879_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PANK4
chr1:clu_5880_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	LINC00982
chr1:clu_5881_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	WRAP73
chr1:clu_5882_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	DFFB
chr1:clu_5883_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_5884_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_5885_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_5886_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_5887_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NPHP4
chr1:clu_5888_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_5889_NA	Success	0.103940058645662	1	0.648434044373985	0.891304898929427	KCNAB2
chr1:clu_5890_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KCNAB2
chr1:clu_5891_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_5892_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_5893_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CHD5
chr1:clu_5894_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RPL22
chr1:clu_5895_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RNF207
chr1:clu_5896_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ICMT
chr1:clu_5897_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACOT7
chr1:clu_5898_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	TNFRSF25
chr1:clu_5899_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	PLEKHG5
chr1:clu_5900_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PLEKHG5
chr1:clu_5901_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOL9
chr1:clu_5902_NA	Success	8.95231953240778	1	2.32254287115144e-05	0.000345365141229663	CAMTA1
chr1:clu_5903_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_5904_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5905_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5906_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAMTA1
chr1:clu_5907_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	CAMTA1
chr1:clu_5908_NA	Not enough valid samples	NA	NA	NA	NA	CAMTA1
chr1:clu_5909_NA	Success	7.94299912748829	2	0.00035513977006301	0.00326319786530571	CAMTA1
chr1:clu_5910_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PARK7
chr1:clu_5911_NA	<=1 sample with coverage>0	NA	NA	NA	NA	NA
chr1:clu_5912_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	VAMP3
