ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93029198	93029294	93070863	93070959	92974252	92979527	93073137	93073284
1	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93070863	93070959	93073137	93073284	93029198	93029294	93089732	93089891
2	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93073137	93073284	93089732	93089891	93029198	93029294	93091350	93091491
3	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93073137	93073284	93089732	93089891	93070863	93070959	93091350	93091491
4	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93089732	93089891	93091350	93091491	93073137	93073284	93101758	93101893
5	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151258	73151440	73151550	73151721	73150423	73151021	73151891	73152065
6	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151258	73151440	73151550	73151690	73150893	73151021	73151891	73152065
7	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190397	74190528	74192171	74192343	74189658	74190090	74201956	74202075
10	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74192171	74192343	74201956	74202075	74190397	74190528	74207458	74207619
11	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021556	30022223	30022310	30020798	30020878	30022650	30022742
12	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021593	30021661	30022223	30022310	30020798	30020878	30022650	30022742
14	"ENSG00000132434.9_1"	"LANCL2"	chr7	+	55468866	55469013	55479599	55479782	55433140	55433922	55492946	55493123
15	"ENSG00000085511.19_2"	"MAP3K4"	chr6	+	161455290	161455481	161469647	161471011	161412758	161413115	161491639	161491882
16	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61536731	61536793	61537717	61537997	61533429	61533693	61538971	61539222
19	"ENSG00000174514.12_2"	"MFSD4A"	chr1	+	205555161	205555335	205561267	205561415	205554003	205554119	205566907	205566978
20	"ENSG00000174514.12_2"	"MFSD4A"	chr1	+	205561267	205561415	205566907	205566978	205555161	205555335	205568258	205568379
21	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21961646	21961773	21965860	21965993	21957058	21957148	21974511	21974632
22	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21995199	21995303	21999790	21999817	21987790	21987911	22033192	22033509
23	"ENSG00000073331.17_2"	"ALPK1"	chr4	+	113350304	113350409	113351603	113353737	113348725	113348821	113356303	113356457
24	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35630979	35631044	35631500	35631533	35629711	35629798	35632035	35632110
25	"ENSG00000100629.16_2"	"CEP128"	chr14	-	81297486	81297638	81307025	81307112	81259103	81259454	81329100	81329217
26	"ENSG00000267009.6_2"	"RP11-120M18.2"	chr17	+	66410051	66410323	66416329	66416647	66409880	66409936	66424777	66424904
28	"ENSG00000033170.16_2"	"FUT8"	chr14	+	66135960	66136198	66188492	66188739	65922338	65922436	66190864	66191041
29	"ENSG00000033170.16_2"	"FUT8"	chr14	+	66188492	66188739	66190864	66191041	66135960	66136198	66199948	66200099
30	"ENSG00000126756.11_1"	"UXT"	chrX	-	47516581	47516689	47516970	47517038	47511479	47511543	47517180	47517262
31	"ENSG00000091542.8_1"	"ALKBH5"	chr17	+	18098268	18098349	18110128	18110284	18087552	18088327	18111532	18113268
32	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36017521	36017580	36014184	36014453	36020765	36020908
33	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36020765	36020908	36014184	36014453	36047600	36047698
34	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36014184	36014453	36047600	36047698
35	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36017007	36017254	36047600	36047698
36	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36048331	36048471	36053627	36053675	36047600	36047698	36059591	36059765
37	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36179448	36179627	36230203	36231267	36168553	36168669	36245800	36246131
38	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36189072	36189193	36195199	36195269	36179448	36179627	36212011	36212365
39	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57484575	57484634	57484738	57484859	57484404	57484478	57485005	57485029
41	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	139710	139900	142593	142723	138772	138888	143216	143323
42	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	139710	139900	143216	143323	138772	138888	148142	148299
43	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	142593	142723	143216	143323	138772	138888	148142	148299
44	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	142593	142723	143216	143323	139710	139900	148142	148299
46	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	167299	167374	174935	175072	162620	162774	180520	180590
47	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	169124	169254	174935	175072	162620	162774	180520	180590
48	"ENSG00000103148.15_2"	"NPRL3"	chr16	-	169124	169254	188148	188333	162620	162774	188640	188676
50	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73942787	73942876	73944331	73944538	73938958	73939294	73945297	73945440
51	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73953539	73953647	73956295	73956456	73951908	73952028	73969705	73969866
53	"ENSG00000135502.17_2"	"SLC26A10"	chr12	+	58018905	58018939	58019018	58019101	58017468	58018765	58019192	58019247
54	"ENSG00000135502.17_2"	"SLC26A10"	chr12	+	58018905	58018939	58019018	58019113	58018648	58018765	58019192	58019247
55	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239656008	239656107	239708940	239709049	239549864	239550527	239795523	239795586
56	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239708940	239709049	239795523	239795586	239656008	239656107	239841485	239841588
57	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239882095	239882199	239990152	239990381	239841485	239841588	239990551	239990678
63	"ENSG00000135622.12_1"	"SEMA4F"	chr2	+	74884979	74885078	74889858	74889952	74884691	74884751	74901624	74901803
66	"ENSG00000135622.12_1"	"SEMA4F"	chr2	+	74900583	74900703	74900803	74900955	74889858	74889952	74901624	74901803
67	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20409616	20409829	20425494	20425588	20397623	20399375	20425828	20426330
68	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20411795	20411961	20425494	20425588	20409616	20409829	20425828	20426290
69	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20412839	20413125	20425494	20425588	20409616	20409829	20425828	20426290
70	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	66034052	66034122	66044716	66044966	66031043	66031213	66048477	66048810
73	"ENSG00000187634.11_2"	"SAMD11"	chr1	+	876523	876610	877515	877631	874654	874792	877789	877868
75	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67088740	67088804	67155005	67155142	67085341	67085668	67158868	67158905
76	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67161161	67161261	67163186	67163296	67160352	67161081	67163382	67163646
