ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
44	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49422286	49422543	49422286	49422379	49422450	49422543
81	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70162686	70163025	70162686	70162768	70162861	70163025
146	"ENSG00000145194.17_1"	"ECE2"	chr3	+	184008827	184009227	184008827	184009018	184009131	184009227
178	"ENSG00000214946.13_2"	"TBC1D26"	chr17	+	15640797	15641701	15640797	15640837	15641593	15641701
341	"ENSG00000089280.18_1"	"FUS"	chr16	+	31196259	31199678	31196259	31196500	31199645	31199678
375	"ENSG00000116580.18_1"	"GON4L"	chr1	-	155734790	155736500	155734790	155735141	155736447	155736500
399	"ENSG00000188283.11_1"	"ZNF383"	chr19	+	37726450	37726976	37726450	37726577	37726880	37726976
400	"ENSG00000188283.11_1"	"ZNF383"	chr19	+	37726450	37726976	37726450	37726660	37726880	37726976
480	"ENSG00000167770.11_2"	"OTUB1"	chr11	+	63764001	63764413	63764001	63764120	63764325	63764413
481	"ENSG00000167770.11_2"	"OTUB1"	chr11	+	63764001	63764413	63764001	63764120	63764328	63764413
679	"ENSG00000213930.11_2"	"GALT"	chr9	+	34647085	34647564	34647085	34647255	34647471	34647564
680	"ENSG00000213930.11_2"	"GALT"	chr9	+	34647085	34647564	34647085	34647255	34647488	34647564
681	"ENSG00000213930.11_2"	"GALT"	chr9	+	34647085	34647564	34647085	34647255	34647537	34647564
689	"ENSG00000213930.11_2"	"GALT"	chr9	+	34648330	34648891	34648330	34648453	34648758	34648891
883	"ENSG00000143416.20_2"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337757	151338038	151338160
884	"ENSG00000143416.20_2"	"SELENBP1"	chr1	-	151337664	151338160	151337664	151337714	151338081	151338160
1435	"ENSG00000198951.11_1"	"NAGA"	chr22	-	42466285	42466834	42466285	42466370	42466766	42466834
1648	"ENSG00000164066.12_1"	"INTU"	chr4	+	128606596	128609022	128606596	128606724	128608895	128609022
1796	"ENSG00000105135.15_1"	"ILVBL"	chr19	-	15227218	15228826	15227218	15227333	15228691	15228826
1798	"ENSG00000226476.3_1"	"RP11-776H12.1"	chr1	-	61061209	61062045	61061209	61061371	61061920	61062045
1821	"ENSG00000130177.14_1"	"CDC16"	chr13	+	115037658	115038150	115037658	115037956	115038038	115038150
1841	"ENSG00000146576.12_1"	"C7orf26"	chr7	+	6639459	6639987	6639459	6639523	6639757	6639987
1850	"ENSG00000159214.12_1"	"CCDC24"	chr1	+	44457518	44458059	44457518	44457676	44457824	44458059
1851	"ENSG00000159214.12_1"	"CCDC24"	chr1	+	44457518	44458059	44457518	44457676	44457883	44458059
1933	"ENSG00000184205.14_1"	"TSPYL2"	chrX	+	53113713	53114048	53113713	53113804	53113936	53114048
1949	"ENSG00000224078.12_2"	"SNHG14"	chr15	+	25448698	25449447	25448698	25448743	25449316	25449447
