cluster	status	loglr	df	p	p.adjust	genes
chr1:clu_16078_NA	Success	3.10227761122133	8	0.624330515465703	0.877630324597503	NA
chr1:clu_16079_NA	Success	0.00447480039143677	1	0.924630699312093	1	WASH7P
chr1:clu_16080_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	WASH7P
chr1:clu_16081_NA	Error in sampler$call_sampler(c(args, dotlist)): Initialization failed.	NA	NA	NA	NA	RP11-34P13.13,RP11-34P13.7
chr1:clu_16082_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-34P13.7
chr1:clu_16083_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-34P13.13
chr1:clu_16084_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-34P13.13
chr1:clu_16085_NA	Success	0.511595609615142	2	0.599538186308329	0.861772232754861	RP11-34P13.13
chr1:clu_16086_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16087_NA	Not enough valid samples	NA	NA	NA	NA	AP006222.2
chr1:clu_16088_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.2,AP006222.2
chr1:clu_16089_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16090_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	MTND1P23,MTATP6P1
chr1:clu_16091_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16092_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16093_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16094_NA	Not enough valid samples	NA	NA	NA	NA	NA
chr1:clu_16095_NA	Success	4.4489982990991	1	0.0028548370665465	0.050014712287509	NA
chr1:clu_16096_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.3
chr1:clu_16097_NA	Error in sampler$call_sampler(c(args, dotlist)): Initialization failed.	NA	NA	NA	NA	NA
chr1:clu_16098_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.5
chr1:clu_16099_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.2
chr1:clu_16100_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.2,RP11-206L10.8
chr1:clu_16101_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	RP11-206L10.9
chr1:clu_16102_NA	Success	-5.81557108380844	2	1	1	RP11-206L10.8
chr1:clu_16103_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.10
chr1:clu_16104_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16105_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-206L10.11
chr1:clu_16106_NA	Success	5.98160657036442	5	0.0352953371065759	0.199792588952276	RP11-206L10.11
chr1:clu_16107_NA	Success	0.00867373038150276	1	0.895213865762372	1	RP11-206L10.11
chr1:clu_16108_NA	Not enough valid samples	NA	NA	NA	NA	NOC2L
chr1:clu_16109_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOC2L
chr1:clu_16110_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOC2L
chr1:clu_16111_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NOC2L
chr1:clu_16112_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KLHL17
chr1:clu_16113_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KLHL17
chr1:clu_16114_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	KLHL17
chr1:clu_16115_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HES4
chr1:clu_16116_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	HES4
chr1:clu_16117_NA	Success	0.307196053694966	1	0.433138880442972	0.736747896898677	AGRN
chr1:clu_16118_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16119_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16120_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16121_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16122_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16123_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16124_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16125_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16126_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16127_NA	Success	9.90931411891052	4	0.0005422967548221	0.0183950875616806	AGRN
chr1:clu_16128_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	AGRN
chr1:clu_16129_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP11-465B22.3
chr1:clu_16130_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	NA
chr1:clu_16131_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	C1orf159
chr1:clu_16132_NA	Success	6.19601800517557	7	0.0883814987644996	0.332590992596376	NA
chr1:clu_16133_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16134_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	NA
chr1:clu_16135_NA	<=1 sample with coverage>min_coverage	NA	NA	NA	NA	TNFRSF18
chr1:clu_16136_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDF4
chr1:clu_16137_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDF4
chr1:clu_16138_NA	Success	0.924034365838395	1	0.174008179465152	0.469187795568761	SDF4
chr1:clu_16139_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SDF4
chr1:clu_16140_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	UBE2J2
chr1:clu_16141_NA	Success	0.624844296673814	2	0.535344776992439	0.817874385654899	UBE2J2
chr1:clu_16142_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	RP5-902P8.10
chr1:clu_16143_NA	Not enough valid samples	NA	NA	NA	NA	SCNN1D
chr1:clu_16144_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SCNN1D
chr1:clu_16145_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	SCNN1D
chr1:clu_16146_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_16147_NA	Success	0.0326398975522579	1	0.798337631082761	0.977272522063575	ACAP3
chr1:clu_16148_NA	Success	1.83628796197755	1	0.0553146334196361	0.260740595376872	ACAP3
chr1:clu_16149_NA	Success	0.561519430541694	1	0.289265048303736	0.607225189399203	ACAP3
chr1:clu_16150_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_16151_NA	Success	2.20969862137463	1	0.0355325860046804	0.200402200141453	ACAP3
chr1:clu_16152_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_16153_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_16154_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	ACAP3
chr1:clu_16155_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PUSL1
chr1:clu_16156_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PUSL1
chr1:clu_16157_NA	<2 introns used in >=min_samples_per_intron samples	NA	NA	NA	NA	PUSL1
