ID	GeneID	geneSymbol	chr	strand	longExonStart_0base	longExonEnd	shortES	shortEE	flankingES	flankingEE
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151891	73152065	73151258	73151440
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73152657	73152793	73152662	73152793	73151891	73152065
2	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189658	74190090	74189658	74189849	74190397	74190528
3	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30018105	30018269	30018176	30018269	30017916	30017998
4	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30020316	30020426	30020324	30020426	30018493	30018620
5	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021281	30021661	30021593	30021661	30020798	30020878
6	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30022219	30022310	30022223	30022310	30021281	30021347
7	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30022219	30022310	30022223	30022310	30021281	30021556
8	"ENSG00000145388.14_1"	"METTL14"	chr4	+	119610524	119610612	119610524	119610559	119612686	119612767
9	"ENSG00000165816.12_2"	"VWA2"	chr10	+	116044621	116044733	116044621	116044729	116045697	116046270
10	"ENSG00000085511.19_2"	"MAP3K4"	chr6	+	161514804	161514883	161514804	161514871	161518111	161518208
11	"ENSG00000124920.13_2"	"MYRF"	chr11	+	61546300	61547042	61546300	61546895	61547313	61547402
12	"ENSG00000073331.17_2"	"ALPK1"	chr4	+	113223494	113223641	113223494	113223564	113236956	113237008
13	"ENSG00000269858.5_2"	"EGLN2"	chr19	+	41313042	41313456	41313042	41313179	41313713	41314337
14	"ENSG00000108468.14_2"	"CBX1"	chr17	-	46153350	46153540	46153362	46153540	46152367	46152462
15	"ENSG00000087460.23_2"	"GNAS"	chr20	+	57464214	57464408	57464214	57464387	57470666	57470739
16	"ENSG00000161533.11_2"	"ACOX1"	chr17	-	73974871	73975209	73975045	73975209	73974614	73974774
17	"ENSG00000135502.17_2"	"SLC26A10"	chr12	+	58019018	58019113	58019018	58019101	58019192	58019247
18	"ENSG00000123329.17_2"	"ARHGAP9"	chr12	-	57869558	57869714	57869615	57869714	57869265	57869398
19	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425828	20426330	20409616	20409829
20	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425828	20426330	20411604	20411961
21	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425828	20426330	20412839	20413125
22	"ENSG00000174485.15_2"	"DENND4A"	chr15	-	66053697	66053776	66053704	66053776	66048477	66048810
23	"ENSG00000187634.11_2"	"SAMD11"	chr1	+	874654	874840	874654	874792	876523	876686
24	"ENSG00000187634.11_2"	"SAMD11"	chr1	+	874654	874840	874654	874792	877515	877631
25	"ENSG00000168621.14_2"	"GDNF"	chr5	-	37834747	37834924	37834825	37834924	37812778	37816237
26	"ENSG00000153253.15_2"	"SCN3A"	chr2	-	165997160	165997508	165997307	165997508	165995985	165996118
