query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	5.82e-10	120	1066	37	0.035	0.308	KEGG:00190	keg	45	Oxidative phosphorylation	1	ENSG00000004779,ENSG00000023228,ENSG00000047249,ENSG00000100554,ENSG00000110955,ENSG00000112695,ENSG00000114573,ENSG00000116459,ENSG00000119421,ENSG00000124172,ENSG00000127184,ENSG00000128609,ENSG00000131100,ENSG00000131174,ENSG00000135940,ENSG00000136521,ENSG00000136888,ENSG00000138777,ENSG00000147416,ENSG00000151366,ENSG00000152234,ENSG00000154518,ENSG00000154723,ENSG00000155097,ENSG00000156467,ENSG00000164919,ENSG00000165264,ENSG00000165629,ENSG00000167283,ENSG00000167863,ENSG00000169021,ENSG00000173660,ENSG00000178127,ENSG00000180817,ENSG00000184983,ENSG00000189043,ENSG00000241837
1	TRUE	1.2e-09	156	843	37	0.044	0.237	KEGG:05010	keg	150	Alzheimer disease	1	ENSG00000004779,ENSG00000023228,ENSG00000082701,ENSG00000107758,ENSG00000110955,ENSG00000112695,ENSG00000115310,ENSG00000116459,ENSG00000119421,ENSG00000124172,ENSG00000127184,ENSG00000128609,ENSG00000133318,ENSG00000135940,ENSG00000136521,ENSG00000138814,ENSG00000142192,ENSG00000143933,ENSG00000145335,ENSG00000151366,ENSG00000152234,ENSG00000154518,ENSG00000154723,ENSG00000156052,ENSG00000156467,ENSG00000164919,ENSG00000165629,ENSG00000167863,ENSG00000169021,ENSG00000172115,ENSG00000173660,ENSG00000174437,ENSG00000184983,ENSG00000189043,ENSG00000198668,ENSG00000221823,ENSG00000241837
1	TRUE	3.08e-09	101	834	29	0.035	0.287	GO:0007006	BP	548	mitochondrial membrane organization	1	ENSG00000080824,ENSG00000082701,ENSG00000096092,ENSG00000104765,ENSG00000107643,ENSG00000108953,ENSG00000110955,ENSG00000115966,ENSG00000116459,ENSG00000124172,ENSG00000128245,ENSG00000134308,ENSG00000151729,ENSG00000152234,ENSG00000154518,ENSG00000154723,ENSG00000164924,ENSG00000165629,ENSG00000165943,ENSG00000166913,ENSG00000167283,ENSG00000167863,ENSG00000170027,ENSG00000170606,ENSG00000173726,ENSG00000176171,ENSG00000196072,ENSG00000198836,ENSG00000241837
1	TRUE	5.17e-09	395	600	51	0.085	0.129	GO:0098660	BP	60	inorganic ion transmembrane transport	1	ENSG00000022355,ENSG00000047249,ENSG00000073921,ENSG00000102081,ENSG00000102468,ENSG00000106537,ENSG00000108953,ENSG00000109572,ENSG00000109738,ENSG00000110955,ENSG00000113327,ENSG00000114279,ENSG00000116459,ENSG00000128245,ENSG00000131100,ENSG00000135018,ENSG00000135932,ENSG00000135940,ENSG00000136531,ENSG00000143153,ENSG00000143933,ENSG00000145335,ENSG00000145864,ENSG00000147416,ENSG00000151320,ENSG00000152234,ENSG00000153956,ENSG00000154518,ENSG00000154723,ENSG00000155097,ENSG00000155970,ENSG00000162989,ENSG00000164588,ENSG00000164794,ENSG00000165629,ENSG00000166006,ENSG00000166206,ENSG00000167863,ENSG00000171867,ENSG00000174437,ENSG00000175497,ENSG00000182389,ENSG00000183023,ENSG00000184156,ENSG00000185760,ENSG00000196950,ENSG00000198648,ENSG00000198668,ENSG00000198689,ENSG00000205542,ENSG00000241837
1	TRUE	9.82e-09	131	843	32	0.038	0.244	KEGG:05012	keg	173	Parkinson disease	1	ENSG00000004779,ENSG00000023228,ENSG00000078668,ENSG00000110955,ENSG00000112695,ENSG00000116459,ENSG00000119421,ENSG00000124172,ENSG00000127184,ENSG00000127955,ENSG00000128609,ENSG00000135940,ENSG00000136521,ENSG00000142875,ENSG00000145335,ENSG00000151366,ENSG00000151729,ENSG00000152234,ENSG00000154518,ENSG00000154723,ENSG00000156467,ENSG00000164919,ENSG00000165629,ENSG00000165637,ENSG00000167863,ENSG00000169021,ENSG00000172115,ENSG00000173660,ENSG00000184983,ENSG00000189043,ENSG00000213585,ENSG00000241837
1	TRUE	1.5e-08	185	1237	47	0.038	0.254	GO:0044455	CC	204	mitochondrial membrane part	1	ENSG00000004779,ENSG00000006530,ENSG00000023228,ENSG00000050393,ENSG00000104381,ENSG00000105819,ENSG00000110955,ENSG00000112992,ENSG00000116459,ENSG00000119421,ENSG00000124172,ENSG00000126858,ENSG00000127184,ENSG00000128609,ENSG00000130770,ENSG00000134375,ENSG00000135940,ENSG00000136521,ENSG00000143158,ENSG00000145335,ENSG00000151366,ENSG00000151729,ENSG00000152234,ENSG00000154174,ENSG00000154518,ENSG00000154723,ENSG00000156411,ENSG00000156467,ENSG00000165264,ENSG00000165629,ENSG00000167283,ENSG00000167863,ENSG00000168958,ENSG00000169021,ENSG00000173660,ENSG00000173726,ENSG00000173915,ENSG00000175606,ENSG00000176171,ENSG00000178127,ENSG00000178741,ENSG00000184983,ENSG00000189043,ENSG00000196683,ENSG00000198836,ENSG00000214253,ENSG00000241837
1	TRUE	1.5e-08	38	834	17	0.02	0.447	GO:0016469	CC	158	proton-transporting two-sector ATPase complex	1	ENSG00000047249,ENSG00000100554,ENSG00000110955,ENSG00000114573,ENSG00000116459,ENSG00000124172,ENSG00000131100,ENSG00000152234,ENSG00000154518,ENSG00000154723,ENSG00000155097,ENSG00000156411,ENSG00000165629,ENSG00000167283,ENSG00000167863,ENSG00000173915,ENSG00000241837
1	TRUE	1.31e-07	451	483	45	0.093	0.1	GO:0098657	BP	177	import into cell	1	ENSG00000046653,ENSG00000047249,ENSG00000051382,ENSG00000061676,ENSG00000065609,ENSG00000067715,ENSG00000070831,ENSG00000072274,ENSG00000073921,ENSG00000080824,ENSG00000101752,ENSG00000106299,ENSG00000111371,ENSG00000112290,ENSG00000112335,ENSG00000116675,ENSG00000118473,ENSG00000119396,ENSG00000124209,ENSG00000127022,ENSG00000132639,ENSG00000136021,ENSG00000136238,ENSG00000138069,ENSG00000138071,ENSG00000138138,ENSG00000138760,ENSG00000141367,ENSG00000143153,ENSG00000144746,ENSG00000145335,ENSG00000145675,ENSG00000149269,ENSG00000151292,ENSG00000157077,ENSG00000159082,ENSG00000162989,ENSG00000165119,ENSG00000170540,ENSG00000171867,ENSG00000183023,ENSG00000196950,ENSG00000197959,ENSG00000198689,ENSG00000198825
1	TRUE	1.31e-07	210	834	39	0.047	0.186	GO:0006839	BP	169	mitochondrial transport	1	ENSG00000069329,ENSG00000080824,ENSG00000082701,ENSG00000096092,ENSG00000104381,ENSG00000104765,ENSG00000107643,ENSG00000108953,ENSG00000109332,ENSG00000109670,ENSG00000110955,ENSG00000114120,ENSG00000115840,ENSG00000115966,ENSG00000116459,ENSG00000124172,ENSG00000128245,ENSG00000128654,ENSG00000134308,ENSG00000134375,ENSG00000135940,ENSG00000151729,ENSG00000152234,ENSG00000154174,ENSG00000154723,ENSG00000156735,ENSG00000164924,ENSG00000165629,ENSG00000165943,ENSG00000166913,ENSG00000167283,ENSG00000167863,ENSG00000170027,ENSG00000170606,ENSG00000173726,ENSG00000176171,ENSG00000196072,ENSG00000198954,ENSG00000241837
1	TRUE	1.5e-07	296	1143	58	0.051	0.196	GO:0048193	BP	123	Golgi vesicle transport	1	ENSG00000021574,ENSG00000034713,ENSG00000036257,ENSG00000047932,ENSG00000068796,ENSG00000070367,ENSG00000073969,ENSG00000075790,ENSG00000075945,ENSG00000079332,ENSG00000084733,ENSG00000085063,ENSG00000085365,ENSG00000085788,ENSG00000088986,ENSG00000095139,ENSG00000100528,ENSG00000100934,ENSG00000101558,ENSG00000104388,ENSG00000104671,ENSG00000114354,ENSG00000116489,ENSG00000117153,ENSG00000119396,ENSG00000119414,ENSG00000123983,ENSG00000124164,ENSG00000124198,ENSG00000124333,ENSG00000124406,ENSG00000126214,ENSG00000129083,ENSG00000131437,ENSG00000131966,ENSG00000132912,ENSG00000134265,ENSG00000134970,ENSG00000135720,ENSG00000138069,ENSG00000138660,ENSG00000138768,ENSG00000143771,ENSG00000144635,ENSG00000153339,ENSG00000157214,ENSG00000158560,ENSG00000158623,ENSG00000166747,ENSG00000168374,ENSG00000175582,ENSG00000180957,ENSG00000182400,ENSG00000184432,ENSG00000197535,ENSG00000197969,ENSG00000198898,ENSG00000205302
