ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93089732	93089891	93073005	93073284	93091350	93091491
1	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93128275	93128422	93101758	93101893	93128976	93129009
2	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93128976	93129009	93101758	93101893	93131495	93131512
3	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93239462	93239584	93202116	93202184	93250392	93250523
4	"ENSG00000187812.12_1"	"RP11-24M17.5"	chr15	+	76074920	76075000	76074620	76074728	76075160	76075694
5	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151258	73151440	73150423	73151021	73151891	73152065
6	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151258	73151550	73150865	73151021	73151891	73152065
7	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73151690	73151258	73151440	73151891	73152065
8	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73151721	73151258	73151440	73151891	73152065
9	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73152205	73152402	73151897	73152065	73152657	73152793
10	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73152205	73152472	73151975	73152065	73152657	73152713
11	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74181182	74181280	74176211	74176329	74183087	74183197
12	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74183087	74183377	74176211	74176329	74189454	74189567
13	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190015	74190090	74189658	74189849	74190397	74190528
14	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190040	74190090	74189785	74189849	74190397	74190485
15	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190719	74190839	74190397	74190528	74191762	74191967
16	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74190723	74190839	74190397	74190528	74191762	74191967
17	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191751	74191967	74190397	74190528	74192171	74192343
18	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74191762	74191967	74190397	74190528	74192171	74192257
19	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74196320	74196484	74192171	74192343	74201956	74202075
20	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74207458	74207619	74201956	74202075	74210296	74210646
21	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30017733	30017830	30016829	30017652	30017916	30017998
22	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30021593	30021661	30021281	30021347	30022223	30022312
23	"ENSG00000149927.17_2"	"DOC2A"	chr16	-	30022223	30022310	30021281	30021556	30023525	30023657
24	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37186917	37187013	37183221	37184660	37187351	37187441
25	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37242524	37242601	37188828	37188887	37329014	37329160
26	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37388489	37388608	37387764	37387815	37390167	37390400
27	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37388489	37388631	37387764	37387815	37390167	37390400
28	"ENSG00000134138.19_1"	"MEIS2"	chr15	-	37391655	37391800	37390167	37390400	37393092	37393406
29	"ENSG00000132434.9_1"	"LANCL2"	chr7	+	55447339	55447526	55433803	55433922	55459485	55459603
