query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	7.84e-05	590	212	25	0.118	0.042	GO:0048646	BP	23	anatomical structure formation involved in morphogenesis	1	ENSG00000020181,ENSG00000048052,ENSG00000053747,ENSG00000072110,ENSG00000091136,ENSG00000115170,ENSG00000115232,ENSG00000122691,ENSG00000124006,ENSG00000127528,ENSG00000130635,ENSG00000136842,ENSG00000138061,ENSG00000140090,ENSG00000140416,ENSG00000140945,ENSG00000146555,ENSG00000154229,ENSG00000157933,ENSG00000163349,ENSG00000168036,ENSG00000171476,ENSG00000173376,ENSG00000173482,ENSG00000175344
1	TRUE	0.000366	72	230	8	0.035	0.111	KEGG:04520	keg	68	Adherens junction	1	ENSG00000072110,ENSG00000095637,ENSG00000127329,ENSG00000149177,ENSG00000166949,ENSG00000168036,ENSG00000173482,ENSG00000177707
1	TRUE	0.000366	194	133	10	0.075	0.052	KEGG:04510	keg	1	Focal adhesion	1	ENSG00000017427,ENSG00000072110,ENSG00000091136,ENSG00000115232,ENSG00000135862,ENSG00000144668,ENSG00000154229,ENSG00000168036,ENSG00000170962,ENSG00000189056
1	TRUE	0.000522	908	266	34	0.128	0.037	GO:0016477	BP	71	cell migration	1	ENSG00000017427,ENSG00000020181,ENSG00000048052,ENSG00000091136,ENSG00000100311,ENSG00000103888,ENSG00000115170,ENSG00000115232,ENSG00000115290,ENSG00000124205,ENSG00000128578,ENSG00000129682,ENSG00000130635,ENSG00000135862,ENSG00000135919,ENSG00000138061,ENSG00000140416,ENSG00000140945,ENSG00000143669,ENSG00000145824,ENSG00000149177,ENSG00000154229,ENSG00000154721,ENSG00000156299,ENSG00000156463,ENSG00000157404,ENSG00000164850,ENSG00000170962,ENSG00000173376,ENSG00000173482,ENSG00000178568,ENSG00000183098,ENSG00000189056,ENSG00000275342
1	TRUE	0.000635	139	54	6	0.111	0.043	KEGG:04072	keg	182	Phospholipase D signaling pathway	1	ENSG00000065357,ENSG00000101333,ENSG00000107242,ENSG00000136267,ENSG00000154229,ENSG00000170962
1	TRUE	0.000724	889	269	33	0.123	0.037	GO:0007155	BP	38	cell adhesion	1	ENSG00000017427,ENSG00000057294,ENSG00000072110,ENSG00000091136,ENSG00000095637,ENSG00000096696,ENSG00000103855,ENSG00000113555,ENSG00000115170,ENSG00000115232,ENSG00000130635,ENSG00000135862,ENSG00000135919,ENSG00000136099,ENSG00000138061,ENSG00000140416,ENSG00000140945,ENSG00000144668,ENSG00000146555,ENSG00000149177,ENSG00000154229,ENSG00000154721,ENSG00000156299,ENSG00000157404,ENSG00000157873,ENSG00000168036,ENSG00000172175,ENSG00000173376,ENSG00000173482,ENSG00000177707,ENSG00000183090,ENSG00000189184,ENSG00000242419
1	TRUE	0.000724	570	246	24	0.098	0.042	GO:0072359	BP	95	circulatory system development	1	ENSG00000017427,ENSG00000020181,ENSG00000048052,ENSG00000057294,ENSG00000096696,ENSG00000100311,ENSG00000115170,ENSG00000122691,ENSG00000124006,ENSG00000127528,ENSG00000138061,ENSG00000140416,ENSG00000140945,ENSG00000154229,ENSG00000157404,ENSG00000163349,ENSG00000164056,ENSG00000164850,ENSG00000164983,ENSG00000168036,ENSG00000173376,ENSG00000173482,ENSG00000175344,ENSG00000178568
1	TRUE	0.00105	98	54	5	0.093	0.051	KEGG:04070	keg	72	Phosphatidylinositol signaling system	1	ENSG00000065357,ENSG00000101333,ENSG00000107242,ENSG00000136267,ENSG00000154229
1	TRUE	0.00105	99	53	5	0.094	0.051	KEGG:05231	keg	100	Choline metabolism in cancer	1	ENSG00000065357,ENSG00000107242,ENSG00000136267,ENSG00000154229,ENSG00000170962
1	TRUE	0.00207	138	212	10	0.047	0.072	GO:0150063	BP	10	visual system development	1	ENSG00000122691,ENSG00000130635,ENSG00000138061,ENSG00000144355,ENSG00000146555,ENSG00000157933,ENSG00000162992,ENSG00000163349,ENSG00000173482,ENSG00000188158
1	TRUE	0.00207	215	193	12	0.062	0.056	GO:0034330	BP	158	cell junction organization	1	ENSG00000053747,ENSG00000057294,ENSG00000072110,ENSG00000095637,ENSG00000096696,ENSG00000135862,ENSG00000140945,ENSG00000146555,ENSG00000154229,ENSG00000166949,ENSG00000168036,ENSG00000177707
1	TRUE	0.00207	232	248	14	0.056	0.06	GO:0030198	BP	160	extracellular matrix organization	1	ENSG00000053747,ENSG00000091136,ENSG00000100311,ENSG00000115232,ENSG00000118271,ENSG00000130635,ENSG00000135862,ENSG00000138061,ENSG00000144668,ENSG00000145681,ENSG00000154721,ENSG00000156140,ENSG00000166949,ENSG00000173376
1	TRUE	0.00207	138	212	10	0.047	0.072	GO:0001654	BP	141	eye development	1	ENSG00000122691,ENSG00000130635,ENSG00000138061,ENSG00000144355,ENSG00000146555,ENSG00000157933,ENSG00000162992,ENSG00000163349,ENSG00000173482,ENSG00000188158
1	TRUE	0.00215	461	129	14	0.109	0.03	GO:0060284	BP	67	regulation of cell development	1	ENSG00000017427,ENSG00000048052,ENSG00000062524,ENSG00000080298,ENSG00000124006,ENSG00000135919,ENSG00000144355,ENSG00000157933,ENSG00000162992,ENSG00000168036,ENSG00000173376,ENSG00000189056,ENSG00000197555,ENSG00000275342
1	TRUE	0.00216	648	266	25	0.094	0.039	GO:0051270	BP	47	regulation of cellular component movement	1	ENSG00000017427,ENSG00000048052,ENSG00000057294,ENSG00000072110,ENSG00000091136,ENSG00000096696,ENSG00000100311,ENSG00000103888,ENSG00000115170,ENSG00000122691,ENSG00000124205,ENSG00000129682,ENSG00000135919,ENSG00000138061,ENSG00000140416,ENSG00000140945,ENSG00000149177,ENSG00000154229,ENSG00000156299,ENSG00000156463,ENSG00000164850,ENSG00000170962,ENSG00000173482,ENSG00000178568,ENSG00000275342
1	TRUE	0.00225	793	278	29	0.104	0.037	GO:0051094	BP	78	positive regulation of developmental process	1	ENSG00000004487,ENSG00000017427,ENSG00000048052,ENSG00000062524,ENSG00000080298,ENSG00000100311,ENSG00000115170,ENSG00000122691,ENSG00000124006,ENSG00000124205,ENSG00000135919,ENSG00000138061,ENSG00000144355,ENSG00000154229,ENSG00000156299,ENSG00000157404,ENSG00000162992,ENSG00000162998,ENSG00000163349,ENSG00000164850,ENSG00000166949,ENSG00000168036,ENSG00000172175,ENSG00000173376,ENSG00000175344,ENSG00000178568,ENSG00000184160,ENSG00000188730,ENSG00000189056
1	TRUE	0.00271	181	264	12	0.045	0.066	GO:0042692	BP	118	muscle cell differentiation	1	ENSG00000004487,ENSG00000017427,ENSG00000048052,ENSG00000100311,ENSG00000115170,ENSG00000124006,ENSG00000136842,ENSG00000140416,ENSG00000157404,ENSG00000157933,ENSG00000164850,ENSG00000168036
1	TRUE	0.00336	202	286	13	0.045	0.064	GO:0030425	CC	180	dendrite	1	ENSG00000080709,ENSG00000100722,ENSG00000101438,ENSG00000104327,ENSG00000125869,ENSG00000129682,ENSG00000135824,ENSG00000152578,ENSG00000159788,ENSG00000164850,ENSG00000181195,ENSG00000189056,ENSG00000197555
1	TRUE	0.00346	256	266	14	0.053	0.055	GO:0005911	CC	142	cell-cell junction	1	ENSG00000057294,ENSG00000072110,ENSG00000095637,ENSG00000096696,ENSG00000124006,ENSG00000129682,ENSG00000133401,ENSG00000149177,ENSG00000156299,ENSG00000164983,ENSG00000168036,ENSG00000168952,ENSG00000173482,ENSG00000177707
1	TRUE	0.00355	175	241	11	0.046	0.063	GO:0062023	CC	93	collagen-containing extracellular matrix	1	ENSG00000053747,ENSG00000091136,ENSG00000100311,ENSG00000130635,ENSG00000135862,ENSG00000135919,ENSG00000140945,ENSG00000145681,ENSG00000156140,ENSG00000183090,ENSG00000187720
1	TRUE	0.00365	108	98	6	0.061	0.056	GO:0030048	BP	7	actin filament-based movement	1	ENSG00000057294,ENSG00000080709,ENSG00000096696,ENSG00000128641,ENSG00000136842,ENSG00000140416
1	TRUE	0.00365	663	133	16	0.12	0.024	GO:0032989	BP	2	cellular component morphogenesis	1	ENSG00000072110,ENSG00000091136,ENSG00000115232,ENSG00000124006,ENSG00000128578,ENSG00000135862,ENSG00000136842,ENSG00000140416,ENSG00000154229,ENSG00000168036,ENSG00000173406,ENSG00000175344,ENSG00000180263,ENSG00000189056,ENSG00000197555,ENSG00000275342
1	TRUE	0.00365	389	278	18	0.065	0.046	GO:0050767	BP	135	regulation of neurogenesis	1	ENSG00000004487,ENSG00000062524,ENSG00000124006,ENSG00000129682,ENSG00000135919,ENSG00000144355,ENSG00000156299,ENSG00000157933,ENSG00000162992,ENSG00000164850,ENSG00000168036,ENSG00000173376,ENSG00000184160,ENSG00000188730,ENSG00000189056,ENSG00000197555,ENSG00000204624,ENSG00000275342
1	TRUE	0.00365	979	278	32	0.115	0.033	GO:0051240	BP	156	positive regulation of multicellular organismal process	1	ENSG00000004487,ENSG00000017427,ENSG00000048052,ENSG00000062524,ENSG00000080298,ENSG00000100311,ENSG00000103855,ENSG00000115170,ENSG00000122691,ENSG00000124006,ENSG00000124205,ENSG00000124831,ENSG00000135919,ENSG00000138061,ENSG00000140416,ENSG00000144355,ENSG00000154229,ENSG00000156299,ENSG00000157404,ENSG00000162992,ENSG00000163349,ENSG00000164850,ENSG00000166949,ENSG00000168036,ENSG00000169129,ENSG00000172175,ENSG00000173376,ENSG00000175344,ENSG00000178568,ENSG00000184160,ENSG00000188730,ENSG00000189056
1	TRUE	0.00365	429	176	15	0.085	0.035	GO:0050839	MF	91	cell adhesion molecule binding	1	ENSG00000017427,ENSG00000057294,ENSG00000072110,ENSG00000082438,ENSG00000115232,ENSG00000124831,ENSG00000128641,ENSG00000130635,ENSG00000136754,ENSG00000140945,ENSG00000154229,ENSG00000168036,ENSG00000168952,ENSG00000173482,ENSG00000177707
