query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	1.91e-05	543	656	32	0.049	0.059	GO:0000003	BP	38	reproduction	1	ENSG00000079393,ENSG00000099139,ENSG00000099338,ENSG00000100206,ENSG00000104953,ENSG00000106128,ENSG00000107485,ENSG00000121101,ENSG00000125885,ENSG00000129810,ENSG00000132749,ENSG00000134207,ENSG00000135409,ENSG00000143450,ENSG00000152430,ENSG00000154438,ENSG00000160207,ENSG00000163508,ENSG00000164404,ENSG00000165891,ENSG00000168619,ENSG00000169679,ENSG00000170848,ENSG00000173809,ENSG00000173894,ENSG00000188886,ENSG00000198765,ENSG00000214102,ENSG00000221826,ENSG00000243130,ENSG00000243137,ENSG00000273706
1	TRUE	0.00073	354	632	22	0.035	0.062	GO:0044703	BP	22	multi-organism reproductive process	1	ENSG00000079393,ENSG00000099139,ENSG00000099338,ENSG00000100206,ENSG00000104953,ENSG00000121101,ENSG00000125885,ENSG00000132749,ENSG00000134207,ENSG00000143450,ENSG00000154438,ENSG00000160207,ENSG00000164404,ENSG00000168619,ENSG00000170848,ENSG00000173809,ENSG00000188886,ENSG00000198765,ENSG00000214102,ENSG00000221826,ENSG00000243130,ENSG00000243137
1	TRUE	0.00466	80	308	7	0.023	0.087	GO:0005796	CC	43	Golgi lumen	1	ENSG00000099139,ENSG00000154342,ENSG00000169876,ENSG00000169894,ENSG00000181143,ENSG00000204544,ENSG00000215182
1	TRUE	0.00804	71	512	8	0.016	0.113	GO:0004497	MF	60	monooxygenase activity	1	ENSG00000095596,ENSG00000142973,ENSG00000180176,ENSG00000186526,ENSG00000186529,ENSG00000187134,ENSG00000187553,ENSG00000197446
1	TRUE	0.0118	156	346	9	0.026	0.058	GO:0043009	BP	18	chordate embryonic development	1	ENSG00000099139,ENSG00000107485,ENSG00000128652,ENSG00000158055,ENSG00000163508,ENSG00000165891,ENSG00000171956,ENSG00000204531,ENSG00000273706
1	TRUE	0.0118	958	654	37	0.057	0.039	GO:0006952	BP	40	defense response	1	ENSG00000012223,ENSG00000023445,ENSG00000079263,ENSG00000089127,ENSG00000096996,ENSG00000107485,ENSG00000108700,ENSG00000109101,ENSG00000111679,ENSG00000113905,ENSG00000115085,ENSG00000116701,ENSG00000123146,ENSG00000134830,ENSG00000137265,ENSG00000142405,ENSG00000149476,ENSG00000150637,ENSG00000158517,ENSG00000160791,ENSG00000163435,ENSG00000165682,ENSG00000166523,ENSG00000169876,ENSG00000169894,ENSG00000174123,ENSG00000178772,ENSG00000180644,ENSG00000181143,ENSG00000183486,ENSG00000183625,ENSG00000203710,ENSG00000204544,ENSG00000204577,ENSG00000213903,ENSG00000215182,ENSG00000221826
1	TRUE	0.021	1598	324	30	0.093	0.019	GO:0048513	BP	29	animal organ development	1	ENSG00000012223,ENSG00000078900,ENSG00000086159,ENSG00000089225,ENSG00000096996,ENSG00000099139,ENSG00000100867,ENSG00000107485,ENSG00000109101,ENSG00000115085,ENSG00000119715,ENSG00000125046,ENSG00000128652,ENSG00000135903,ENSG00000136378,ENSG00000154342,ENSG00000163435,ENSG00000163508,ENSG00000163554,ENSG00000165891,ENSG00000167767,ENSG00000169174,ENSG00000171956,ENSG00000180176,ENSG00000182885,ENSG00000183638,ENSG00000203710,ENSG00000203867,ENSG00000273706,ENSG00000275410
1	TRUE	0.0232	51	308	5	0.016	0.098	GO:0016266	BP	35	O-glycan processing	1	ENSG00000169876,ENSG00000169894,ENSG00000181143,ENSG00000204544,ENSG00000215182
1	TRUE	0.0232	49	193	4	0.021	0.082	GO:2000736	BP	2	regulation of stem cell differentiation	1	ENSG00000078900,ENSG00000107485,ENSG00000119715,ENSG00000154342
1	TRUE	0.0243	5	120	2	0.017	0.4	GO:0010455	BP	39	positive regulation of cell fate commitment	1	ENSG00000096996,ENSG00000154342
