ID	GeneID	geneSymbol	chr	strand	1stExonStart_0base	1stExonEnd	2ndExonStart_0base	2ndExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
2	"ENSG00000180776.15_2"	"ZDHHC20"	chr13	-	21995199	21995303	21999790	21999817	21987790	21987911	22033192	22033509
3	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017007	36017254	36017521	36017580	36014184	36014453	36020765	36020908
4	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36014184	36014453	36047600	36047698
5	"ENSG00000047365.11_2"	"ARAP2"	chr4	-	36017521	36017580	36020765	36020908	36017007	36017254	36047600	36047698
21	"ENSG00000152208.12_2"	"GRID2"	chr4	+	93511281	93511437	94006145	94006430	93224772	93225895	94031898	94032104
24	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403330	110403379	110405118	110405124	110399417	110399490	110405262	110405308
25	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110403330	110403382	110405118	110405124	110399417	110399490	110405262	110405308
28	"ENSG00000144935.14_1"	"TRPC1"	chr3	+	142455220	142455375	142462326	142462428	142442915	142443573	142467099	142467302
30	"ENSG00000024048.10_1"	"UBR2"	chr6	+	42604748	42604932	42607946	42608008	42603155	42603284	42609319	42609430
52	"ENSG00000179152.19_1"	"TCAIM"	chr3	+	44396230	44396303	44399232	44399368	44379610	44379811	44402856	44403010
55	"ENSG00000133794.17_2"	"ARNTL"	chr11	+	13375847	13375995	13378285	13378324	13371491	13371617	13378601	13378643
57	"ENSG00000144290.16_2"	"SLC4A10"	chr2	+	162627482	162627564	162660958	162661105	162480847	162481076	162696298	162696437
59	"ENSG00000105197.10_2"	"TIMM50"	chr19	+	39973524	39973556	39973774	39973796	39972522	39972673	39976327	39976447
63	"ENSG00000147408.14_2"	"CSGALNACT1"	chr8	-	19315936	19316153	19362711	19363641	19297340	19297442	19459281	19459376
