ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151690	73151891	73152065
1	"ENSG00000106077.18_1"	"ABHD11"	chr7	-	73151550	73152065	73151550	73151721	73151891	73152065
3	"ENSG00000135297.15_1"	"MTO1"	chr6	+	74189658	74190090	74189658	74189849	74190015	74190090
7	"ENSG00000073331.17_2"	"ALPK1"	chr4	+	113346820	113347699	113346820	113346907	113347622	113347699
9	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632035	35632476	35632035	35632110	35632346	35632476
10	"ENSG00000266964.5_2"	"FXYD1"	chr19	+	35632035	35632476	35632035	35632110	35632439	35632476
13	"ENSG00000269858.5_2"	"EGLN2"	chr19	+	41313713	41314337	41313713	41313818	41314065	41314337
14	"ENSG00000100629.16_2"	"CEP128"	chr14	-	81296508	81297638	81296508	81296627	81297486	81297638
16	"ENSG00000174177.12_1"	"CTU2"	chr16	+	88780790	88781145	88780790	88780894	88780994	88781145
25	"ENSG00000126768.12_1"	"TIMM17B"	chrX	-	48751182	48751508	48751182	48751293	48751379	48751508
26	"ENSG00000132950.18_2"	"ZMYM5"	chr13	-	20425494	20426330	20425494	20425588	20425828	20426330
27	"ENSG00000172613.7_2"	"RAD9A"	chr11	+	67163382	67163646	67163382	67163492	67163581	67163646
30	"ENSG00000131711.14_1"	"MAP1B"	chr5	+	71403060	71403542	71403060	71403136	71403221	71403542
31	"ENSG00000081760.16_2"	"AACS"	chr12	+	125609250	125609570	125609250	125609315	125609447	125609570
32	"ENSG00000096080.11_2"	"MRPS18A"	chr6	-	43642938	43643354	43642938	43643008	43643230	43643354
36	"ENSG00000100842.12_1"	"EFS"	chr14	-	23828525	23829248	23828525	23828903	23829131	23829248
43	"ENSG00000065029.14_2"	"ZNF76"	chr6	+	35258417	35259180	35258417	35258493	35259054	35259180
45	"ENSG00000109184.14_1"	"DCUN1D4"	chr4	+	52752733	52753410	52752733	52752804	52753288	52753410
46	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49422286	49422543	49422286	49422379	49422450	49422543
47	"ENSG00000172243.17_1"	"CLEC7A"	chr12	-	10269375	10271189	10269375	10269848	10270752	10271189
53	"ENSG00000089682.16_1"	"RBM41"	chrX	-	106331665	106332069	106331665	106331803	106331964	106332069
54	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70312947	70313405	70312947	70313035	70313186	70313405
55	"ENSG00000146802.12_1"	"TMEM168"	chr7	-	112423752	112425008	112423752	112423811	112424909	112425008
