query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	4.54e-25	651	577	89	0.154	0.137	GO:0097458	CC	171	neuron part	1	ENSG00000005249,ENSG00000006116,ENSG00000008056,ENSG00000008086,ENSG00000008277,ENSG00000011347,ENSG00000050748,ENSG00000054356,ENSG00000067715,ENSG00000072071,ENSG00000073969,ENSG00000078018,ENSG00000078053,ENSG00000078369,ENSG00000078725,ENSG00000091129,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104093,ENSG00000104435,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000105723,ENSG00000106089,ENSG00000106105,ENSG00000107643,ENSG00000108797,ENSG00000109339,ENSG00000109756,ENSG00000113327,ENSG00000113763,ENSG00000115977,ENSG00000116106,ENSG00000116141,ENSG00000120251,ENSG00000124198,ENSG00000126214,ENSG00000127561,ENSG00000129990,ENSG00000130477,ENSG00000130558,ENSG00000131711,ENSG00000132639,ENSG00000132872,ENSG00000136531,ENSG00000138814,ENSG00000141837,ENSG00000145632,ENSG00000145934,ENSG00000149269,ENSG00000151835,ENSG00000152954,ENSG00000154096,ENSG00000155093,ENSG00000156642,ENSG00000157540,ENSG00000157764,ENSG00000159082,ENSG00000159164,ENSG00000159363,ENSG00000163536,ENSG00000164114,ENSG00000166006,ENSG00000166111,ENSG00000167654,ENSG00000168959,ENSG00000169933,ENSG00000171450,ENSG00000172020,ENSG00000174469,ENSG00000176749,ENSG00000177380,ENSG00000181754,ENSG00000183454,ENSG00000184156,ENSG00000185518,ENSG00000186472,ENSG00000196277,ENSG00000196876,ENSG00000197106,ENSG00000197457,ENSG00000197535,ENSG00000198836,ENSG00000198934,ENSG00000220205,ENSG00000258947,ENSG00000273079
1	TRUE	1e-18	60	572	26	0.045	0.433	KEGG:04721	keg	350	Synaptic vesicle cycle	1	ENSG00000006125,ENSG00000033627,ENSG00000067715,ENSG00000073969,ENSG00000099365,ENSG00000104888,ENSG00000105402,ENSG00000105649,ENSG00000106089,ENSG00000106976,ENSG00000114573,ENSG00000128524,ENSG00000130477,ENSG00000131100,ENSG00000132639,ENSG00000136854,ENSG00000141367,ENSG00000141837,ENSG00000147416,ENSG00000155097,ENSG00000159720,ENSG00000161203,ENSG00000185883,ENSG00000196961,ENSG00000213760,ENSG00000220205
1	TRUE	7.83e-17	322	577	52	0.09	0.161	GO:0045202	CC	273	synapse	1	ENSG00000005249,ENSG00000008056,ENSG00000011347,ENSG00000054356,ENSG00000055163,ENSG00000067715,ENSG00000072071,ENSG00000073969,ENSG00000078053,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104093,ENSG00000104888,ENSG00000105409,ENSG00000105649,ENSG00000106089,ENSG00000109756,ENSG00000115977,ENSG00000116106,ENSG00000120251,ENSG00000124198,ENSG00000127561,ENSG00000129990,ENSG00000130477,ENSG00000132639,ENSG00000132872,ENSG00000133019,ENSG00000138814,ENSG00000145934,ENSG00000155093,ENSG00000156642,ENSG00000159082,ENSG00000159164,ENSG00000166006,ENSG00000166111,ENSG00000167654,ENSG00000168959,ENSG00000169933,ENSG00000170579,ENSG00000171914,ENSG00000172020,ENSG00000176749,ENSG00000177380,ENSG00000183454,ENSG00000185518,ENSG00000186472,ENSG00000196277,ENSG00000197106,ENSG00000198934,ENSG00000220205,ENSG00000273079
1	TRUE	9.07e-14	391	577	52	0.09	0.133	GO:0099536	BP	13	synaptic signaling	1	ENSG00000007168,ENSG00000008056,ENSG00000011347,ENSG00000019505,ENSG00000022355,ENSG00000067191,ENSG00000067606,ENSG00000067715,ENSG00000078053,ENSG00000081189,ENSG00000099365,ENSG00000100321,ENSG00000101152,ENSG00000102003,ENSG00000102468,ENSG00000105649,ENSG00000105723,ENSG00000106089,ENSG00000107758,ENSG00000109738,ENSG00000109756,ENSG00000113327,ENSG00000116106,ENSG00000120251,ENSG00000124140,ENSG00000128245,ENSG00000129990,ENSG00000130477,ENSG00000132639,ENSG00000132872,ENSG00000133019,ENSG00000136854,ENSG00000136928,ENSG00000138078,ENSG00000145632,ENSG00000145864,ENSG00000155093,ENSG00000156642,ENSG00000157764,ENSG00000159082,ENSG00000160716,ENSG00000168959,ENSG00000170027,ENSG00000170579,ENSG00000177380,ENSG00000183454,ENSG00000184156,ENSG00000186472,ENSG00000196277,ENSG00000213023,ENSG00000220205,ENSG00000273079
1	TRUE	1.21e-13	672	397	57	0.144	0.085	GO:0061024	BP	278	membrane organization	1	ENSG00000011347,ENSG00000019505,ENSG00000054793,ENSG00000067715,ENSG00000068615,ENSG00000069329,ENSG00000073969,ENSG00000078053,ENSG00000087470,ENSG00000089818,ENSG00000091129,ENSG00000099365,ENSG00000100321,ENSG00000102003,ENSG00000104381,ENSG00000105402,ENSG00000105649,ENSG00000105723,ENSG00000106976,ENSG00000107295,ENSG00000107643,ENSG00000109436,ENSG00000112697,ENSG00000115977,ENSG00000118473,ENSG00000125814,ENSG00000128245,ENSG00000129990,ENSG00000132639,ENSG00000132872,ENSG00000134265,ENSG00000136854,ENSG00000138069,ENSG00000138071,ENSG00000139973,ENSG00000141367,ENSG00000143153,ENSG00000145362,ENSG00000147676,ENSG00000151729,ENSG00000159082,ENSG00000161203,ENSG00000164209,ENSG00000164924,ENSG00000165943,ENSG00000166501,ENSG00000166913,ENSG00000170027,ENSG00000173726,ENSG00000174469,ENSG00000182400,ENSG00000196961,ENSG00000198513,ENSG00000198836,ENSG00000220205,ENSG00000241468,ENSG00000241973
1	TRUE	6.4e-13	606	560	64	0.114	0.106	GO:0048666	BP	355	neuron development	1	ENSG00000005810,ENSG00000007168,ENSG00000008086,ENSG00000010017,ENSG00000021645,ENSG00000049759,ENSG00000050748,ENSG00000051382,ENSG00000067715,ENSG00000077264,ENSG00000078018,ENSG00000081189,ENSG00000091129,ENSG00000099365,ENSG00000103034,ENSG00000104435,ENSG00000106299,ENSG00000107295,ENSG00000107643,ENSG00000107758,ENSG00000108797,ENSG00000109339,ENSG00000109756,ENSG00000113763,ENSG00000116106,ENSG00000116141,ENSG00000118200,ENSG00000121871,ENSG00000124140,ENSG00000128245,ENSG00000128656,ENSG00000130477,ENSG00000130558,ENSG00000131711,ENSG00000132872,ENSG00000132932,ENSG00000133083,ENSG00000135298,ENSG00000136854,ENSG00000145675,ENSG00000145934,ENSG00000148948,ENSG00000149269,ENSG00000154096,ENSG00000156642,ENSG00000157764,ENSG00000160716,ENSG00000163536,ENSG00000167654,ENSG00000169783,ENSG00000172020,ENSG00000174469,ENSG00000176749,ENSG00000179542,ENSG00000181754,ENSG00000183715,ENSG00000186487,ENSG00000197457,ENSG00000198513,ENSG00000198825,ENSG00000203879,ENSG00000213023,ENSG00000221866,ENSG00000258947
1	TRUE	1.96e-12	194	490	32	0.065	0.165	GO:0051650	BP	137	establishment of vesicle localization	1	ENSG00000007168,ENSG00000008056,ENSG00000011347,ENSG00000019505,ENSG00000067715,ENSG00000070718,ENSG00000073969,ENSG00000075945,ENSG00000078018,ENSG00000099365,ENSG00000101152,ENSG00000105402,ENSG00000105649,ENSG00000106089,ENSG00000106299,ENSG00000129990,ENSG00000130477,ENSG00000131437,ENSG00000132639,ENSG00000132872,ENSG00000136854,ENSG00000138069,ENSG00000138078,ENSG00000138686,ENSG00000157764,ENSG00000158560,ENSG00000159082,ENSG00000182400,ENSG00000186472,ENSG00000197102,ENSG00000197535,ENSG00000220205
1	TRUE	2.39e-11	61	549	19	0.035	0.311	GO:0016079	BP	314	synaptic vesicle exocytosis	1	ENSG00000008056,ENSG00000011347,ENSG00000019505,ENSG00000067715,ENSG00000099365,ENSG00000101152,ENSG00000105649,ENSG00000106089,ENSG00000129990,ENSG00000130477,ENSG00000132639,ENSG00000132872,ENSG00000136854,ENSG00000138078,ENSG00000157764,ENSG00000159082,ENSG00000186472,ENSG00000213023,ENSG00000220205
1	TRUE	2.39e-11	543	560	57	0.102	0.105	GO:0031175	BP	403	neuron projection development	1	ENSG00000005810,ENSG00000007168,ENSG00000008086,ENSG00000010017,ENSG00000021645,ENSG00000049759,ENSG00000051382,ENSG00000067715,ENSG00000077264,ENSG00000078018,ENSG00000081189,ENSG00000091129,ENSG00000099365,ENSG00000103034,ENSG00000104435,ENSG00000106299,ENSG00000107295,ENSG00000107758,ENSG00000108797,ENSG00000109756,ENSG00000113763,ENSG00000116106,ENSG00000116141,ENSG00000118200,ENSG00000121871,ENSG00000124140,ENSG00000128245,ENSG00000128656,ENSG00000130477,ENSG00000130558,ENSG00000131711,ENSG00000132872,ENSG00000133083,ENSG00000135298,ENSG00000136854,ENSG00000145675,ENSG00000148948,ENSG00000149269,ENSG00000154096,ENSG00000156642,ENSG00000157764,ENSG00000160716,ENSG00000163536,ENSG00000167654,ENSG00000169783,ENSG00000172020,ENSG00000174469,ENSG00000176749,ENSG00000179542,ENSG00000181754,ENSG00000197457,ENSG00000198513,ENSG00000198825,ENSG00000203879,ENSG00000213023,ENSG00000221866,ENSG00000258947
1	TRUE	9.18e-11	67	332	16	0.048	0.239	GO:0019905	MF	324	syntaxin binding	1	ENSG00000011347,ENSG00000019505,ENSG00000067715,ENSG00000073969,ENSG00000105402,ENSG00000125814,ENSG00000129990,ENSG00000130477,ENSG00000132639,ENSG00000132872,ENSG00000134265,ENSG00000136854,ENSG00000139973,ENSG00000145087,ENSG00000164506,ENSG00000220205
