query.number	significant	p.value	term.size	query.size	overlap.size	precision	recall	term.id	domain	subgraph.number	term.name	relative.depth	intersection
1	TRUE	0.0337	156	86	6	0.07	0.038	GO:0045930	BP	10	negative regulation of mitotic cell cycle	1	ENSG00000077684,ENSG00000095002,ENSG00000136273,ENSG00000158435,ENSG00000167967,ENSG00000198791
1	TRUE	0.0337	7	53	2	0.038	0.286	GO:0036158	BP	14	outer dynein arm assembly	1	ENSG00000039139,ENSG00000119661
1	TRUE	0.0337	6	18	2	0.111	0.333	GO:0010216	BP	16	maintenance of DNA methylation	1	ENSG00000102974,ENSG00000147854
1	TRUE	0.0337	270	54	7	0.13	0.026	GO:0005929	CC	13	cilium	1	ENSG00000039139,ENSG00000077684,ENSG00000115423,ENSG00000119661,ENSG00000126775,ENSG00000157869,ENSG00000170264
1	TRUE	0.0337	4	53	2	0.038	0.5	GO:0036157	CC	15	outer dynein arm	1	ENSG00000039139,ENSG00000119661
1	TRUE	0.0337	16	101	3	0.03	0.188	GO:0008569	MF	11	ATP-dependent microtubule motor activity, minus-end-directed	1	ENSG00000039139,ENSG00000115423,ENSG00000183914
1	TRUE	0.0337	22	101	3	0.03	0.136	GO:0045505	MF	1	dynein intermediate chain binding	1	ENSG00000039139,ENSG00000115423,ENSG00000183914
1	TRUE	0.0337	6	80	2	0.025	0.333	GO:0004953	MF	3	icosanoid receptor activity	1	ENSG00000050628,ENSG00000213903
1	TRUE	0.0337	20	101	3	0.03	0.15	GO:0045503	MF	6	dynein light chain binding	1	ENSG00000039139,ENSG00000115423,ENSG00000183914
1	TRUE	0.0337	9	56	2	0.036	0.222	GO:0009982	MF	9	pseudouridine synthase activity	1	ENSG00000165526,ENSG00000166133
1	TRUE	0.0378	181	3	2	0.667	0.011	GO:0004857	MF	4	enzyme inhibitor activity	1	ENSG00000117751,ENSG00000180008
1	TRUE	0.038	10	56	2	0.036	0.2	GO:0001522	BP	8	pseudouridine synthesis	1	ENSG00000165526,ENSG00000166133
1	TRUE	0.0387	68	86	4	0.047	0.059	GO:0044773	BP	2	mitotic DNA damage checkpoint	1	ENSG00000095002,ENSG00000136273,ENSG00000158435,ENSG00000198791
1	TRUE	0.0399	26	101	3	0.03	0.115	GO:0051959	MF	12	dynein light intermediate chain binding	1	ENSG00000039139,ENSG00000115423,ENSG00000183914
1	TRUE	0.0467	430	86	9	0.105	0.021	GO:0010564	BP	7	regulation of cell cycle process	1	ENSG00000077684,ENSG00000095002,ENSG00000102974,ENSG00000136273,ENSG00000138083,ENSG00000147854,ENSG00000158435,ENSG00000167967,ENSG00000198791
1	TRUE	0.0476	15	51	2	0.039	0.133	GO:0060338	BP	5	regulation of type I interferon-mediated signaling pathway	1	ENSG00000164163,ENSG00000198791
