ID	GeneID	geneSymbol	chr	strand	exonStart_0base	exonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE
0	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93089732	93089891	93073005	93073284	93091350	93091491
3	"ENSG00000067208.14_2"	"EVI5"	chr1	-	93239462	93239584	93202116	93202184	93250392	93250523
59	"ENSG00000267009.6_2"	"RP11-120M18.2"	chr17	+	66410051	66410323	66409880	66409936	66416329	66416647
60	"ENSG00000267009.6_2"	"RP11-120M18.2"	chr17	+	66410167	66410323	66409870	66409936	66416329	66416647
112	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239656008	239656107	239549864	239550527	239708940	239709049
113	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239708940	239709049	239549864	239550527	239841485	239841588
114	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239795523	239795586	239708940	239709049	239841485	239841588
115	"ENSG00000133019.11_2"	"CHRM3"	chr1	+	239990551	239990678	239841485	239841588	240070732	240071080
205	"ENSG00000002746.14_2"	"HECW1"	chr7	+	43503258	43503398	43495895	43496046	43506045	43506167
234	"ENSG00000182050.13_2"	"MGAT4C"	chr12	-	87120985	87121018	86828933	86829042	87232442	87232662
258	"ENSG00000188342.11_2"	"GTF2F2"	chr13	+	45723904	45723923	45710867	45710941	45725821	45725966
312	"ENSG00000133069.15_2"	"TMCC2"	chr1	+	205210632	205211172	205197303	205197899	205238077	205239012
333	"ENSG00000104805.15_2"	"NUCB1"	chr19	+	49416730	49416821	49416267	49416453	49421982	49422041
335	"ENSG00000139436.20_2"	"GIT2"	chr12	-	110371826	110371890	110367596	110370995	110376184	110376373
382	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70280862	70280924	70278176	70278437	70282787	70282862
386	"ENSG00000179818.9"	"PCBP1-AS1"	chr2	-	70280862	70281126	70278334	70278437	70282787	70283042
414	"ENSG00000248049.6_2"	"UBA6-AS1"	chr4	+	68586139	68586769	68567078	68567202	68594257	68594404
466	"ENSG00000163257.10_1"	"DCAF16"	chr4	-	17806729	17806848	17802277	17806394	17812069	17812381
489	"ENSG00000166676.14_1"	"TVP23A"	chr16	-	10894153	10894195	10868808	10868953	10902393	10902463
501	"ENSG00000179152.19_1"	"TCAIM"	chr3	+	44396230	44396303	44379610	44379811	44402856	44403010
518	"ENSG00000130294.14_1"	"KIF1A"	chr2	-	241711986	241712013	241710545	241710596	241712530	241712673
522	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151892991	151893096	151891524	151891653	151896363	151896544
524	"ENSG00000055609.17_2"	"KMT2C"	chr7	-	151946960	151947038	151944986	151945705	151947937	151948051
525	"ENSG00000145041.15_2"	"DCAF1"	chr3	-	51500818	51500892	51497129	51497243	51504944	51505021
526	"ENSG00000145041.15_2"	"DCAF1"	chr3	-	51500821	51500892	51497129	51497243	51504944	51505021
542	"ENSG00000144290.16_2"	"SLC4A10"	chr2	+	162719383	162719572	162711479	162711640	162728802	162728894
543	"ENSG00000144290.16_2"	"SLC4A10"	chr2	+	162730425	162730515	162728802	162728894	162735640	162735798
544	"ENSG00000144290.16_2"	"SLC4A10"	chr2	+	162738866	162738954	162735640	162735798	162751188	162751335
601	"ENSG00000154310.16_2"	"TNIK"	chr3	-	170797306	170797441	170789011	170789112	170800039	170800183
621	"ENSG00000178741.11_1"	"COX5A"	chr15	-	75219106	75219228	75215934	75216111	75221456	75221573
663	"ENSG00000183960.8_1"	"KCNH8"	chr3	+	19295145	19295379	19189945	19190287	19322689	19322821
666	"ENSG00000236816.2_1"	"ANKRD20A7P"	chr9	-	44110475	44110583	44109300	44109435	44114470	44114644
678	"ENSG00000076067.11_1"	"RBMS2"	chr12	+	56975842	56975936	56975616	56975663	56980632	56980710
679	"ENSG00000076067.11_1"	"RBMS2"	chr12	+	56982715	56982802	56982077	56982158	56982923	56983287
690	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70164325	70164447	70162686	70163025	70166053	70166203
692	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70177412	70177561	70176373	70176589	70178323	70178436
694	"ENSG00000090857.13_1"	"PDPR"	chr16	+	70182366	70182456	70179706	70180131	70190377	70190762
719	"ENSG00000106263.17_1"	"EIF3B"	chr7	+	2411411	2411484	2409106	2409317	2412307	2412430
725	"ENSG00000100991.11_1"	"TRPC4AP"	chr20	-	33608992	33609135	33603810	33603942	33622925	33623111
726	"ENSG00000100991.11_1"	"TRPC4AP"	chr20	-	33608992	33609159	33603810	33603942	33622925	33623111
734	"ENSG00000204149.10_2"	"AGAP6"	chr10	+	51751435	51751504	51749067	51749136	51754154	51754189
758	"ENSG00000025423.11_2"	"HSD17B6"	chr12	+	57179685	57179798	57178722	57178800	57180908	57181129
765	"ENSG00000257267.2_1"	"ZNF271P"	chr18	+	32870973	32871196	32870245	32870355	32885939	32890730
771	"ENSG00000165525.17_1"	"NEMF"	chr14	-	50285010	50285139	50281471	50281525	50292584	50292673
790	"ENSG00000255036.6_2"	"RP11-23J9.4"	chr9	+	100090301	100090428	100088835	100088951	100092435	100092475
897	"ENSG00000119899.12_1"	"SLC17A5"	chr6	-	74348134	74348222	74346343	74346430	74351413	74351647
966	"ENSG00000150938.9_1"	"CRIM1"	chr2	+	36691676	36691798	36669757	36669878	36704031	36704214
973	"ENSG00000173120.14_1"	"KDM2A"	chr11	+	66974980	66975159	66949316	66949363	66982810	66982917
991	"ENSG00000149084.12_2"	"HSD17B12"	chr11	+	43819869	43819977	43775593	43775671	43836986	43837051
999	"ENSG00000133958.13_2"	"UNC79"	chr14	+	93998895	93998924	93995631	93995672	94004334	94004564
1037	"ENSG00000100181.22_2"	"TPTEP1"	chr22	+	17103730	17103787	17082933	17083105	17117929	17117980
1039	"ENSG00000100181.22_2"	"TPTEP1"	chr22	+	17128057	17128147	17119468	17119630	17128552	17128675
1075	"ENSG00000224271.5_1"	"RP11-191L9.4"	chr22	+	48082889	48082955	48082551	48082687	48100337	48100496
1081	"ENSG00000078177.13_2"	"N4BP2"	chr4	+	40075074	40075171	40058445	40058650	40103694	40104226
1083	"ENSG00000078177.13_2"	"N4BP2"	chr4	+	40101655	40101746	40058532	40058650	40103694	40104838
1115	"ENSG00000132122.11_2"	"SPATA6"	chr1	-	48858926	48858972	48850980	48851021	48860938	48861026
1167	"ENSG00000178691.10_1"	"SUZ12"	chr17	+	30310017	30310123	30303539	30303633	30315338	30315516
1177	"ENSG00000253537.2_2"	"PCDHGA7"	chr5	+	140884959	140885048	140874373	140874432	140890513	140892546
1196	"ENSG00000173175.14_2"	"ADCY5"	chr3	-	123036866	123036964	123033081	123033169	123038520	123038665
1198	"ENSG00000154930.14_1"	"ACSS1"	chr20	-	24993447	24993575	24993236	24993300	24994171	24994298
1226	"ENSG00000145194.17_1"	"ECE2"	chr3	+	184008344	184008455	184008042	184008146	184008580	184008648
1236	"ENSG00000078295.16_2"	"ADCY2"	chr5	+	7690803	7690952	7626279	7626429	7695864	7695929
1237	"ENSG00000078295.16_2"	"ADCY2"	chr5	+	7757561	7757699	7743780	7743865	7766799	7766919
